Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Week Number,Shipping Duration (Day),Region,Order Month,Order Quarter,Order Year,Sales Category,Location Key
Office Supplies,Los Angeles,United States,LS-172304,Lycoris Saunders,North America - US,1/7/2011,CA-2011-130813,High,OFF-PA-10002005,Xerox 225,9.3312,3,19,Consumer,1/9/2011,Second Class,4.37,California,Paper,2,2,North America - US - West,January,1,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,MV-174854,Mark Van Huff,North America - US,1/21/2011,CA-2011-148614,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,19,Consumer,1/26/2011,Standard Class,0.94,California,Paper,4,5,North America - US - West,January,1,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,North America - US,8/5/2011,CA-2011-118962,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",9.8418,3,21,Consumer,8/9/2011,Standard Class,1.81,California,Paper,32,4,North America - US - West,August,3,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CS-121304,Chad Sievert,North America - US,8/5/2011,CA-2011-118962,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2,111,Consumer,8/9/2011,Standard Class,4.59,California,Paper,32,4,North America - US - West,August,3,2011,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AP-109154,Arthur Prichep,North America - US,9/29/2011,CA-2011-146969,High,OFF-PA-10002105,Xerox 223,3.1104,1,6,Consumer,10/3/2011,Standard Class,1.32,California,Paper,40,4,North America - US - West,September,3,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JF-154904,Jeremy Farry,North America - US,10/19/2011,CA-2011-117317,Critical,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,6.5856,3,13,Consumer,10/19/2011,Same Day,2.39,California,Paper,43,0,North America - US - West,October,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,WB-218504,William Brown,North America - US,11/4/2011,CA-2011-125829,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3,19,Consumer,11/11/2011,Standard Class,1.15,California,Paper,45,7,North America - US - West,November,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JA-159704,Joseph Airdo,North America - US,11/12/2011,CA-2011-151295,High,OFF-PA-10001947,Xerox 1974,5.8604,2,12,Consumer,11/16/2011,Standard Class,0.92,California,Paper,46,4,North America - US - West,November,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,SP-209204,Susan Pistek,North America - US,11/22/2011,CA-2011-135090,High,OFF-PA-10002245,Xerox 1895,24.219,9,54,Consumer,11/26/2011,Standard Class,6.98,California,Paper,48,4,North America - US - West,November,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,RL-196154,Rob Lucas,North America - US,12/5/2011,CA-2011-133830,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4,49,Consumer,12/10/2011,Standard Class,1.99,California,Paper,50,5,North America - US - West,December,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
